Type,Layer,Class1,Class2,ActivationPercentage
res,24,programming,programming,47.296142578125
res,25,empathetic_dialogue,empathetic_dialogue,24.334716796875
res,25,empathetic_dialogue,math,10.919189453125
res,25,empathetic_dialogue,mmlu,18.292236328125
res,25,empathetic_dialogue,programming,16.8701171875
res,25,math,math,19.659423828125
res,25,math,mmlu,15.692138671875
res,25,math,programming,15.4296875
res,25,mmlu,mmlu,37.933349609375
res,25,mmlu,programming,22.906494140625
res,25,programming,programming,32.452392578125
mlp,0,empathetic_dialogue,empathetic_dialogue,31.55517578125
mlp,0,empathetic_dialogue,math,20.93505859375
mlp,0,empathetic_dialogue,mmlu,28.729248046875
mlp,0,empathetic_dialogue,programming,28.472900390625
mlp,0,math,math,34.576416015625
mlp,0,math,mmlu,30.5419921875
mlp,0,math,programming,30.9326171875
mlp,0,mmlu,mmlu,50.64697265625
mlp,0,mmlu,programming,42.254638671875
mlp,0,programming,programming,49.810791015625
mlp,1,empathetic_dialogue,empathetic_dialogue,39.239501953125
mlp,1,empathetic_dialogue,math,25.469970703125
mlp,1,empathetic_dialogue,mmlu,35.0830078125
mlp,1,empathetic_dialogue,programming,33.251953125
mlp,1,math,math,41.217041015625
mlp,1,math,mmlu,36.676025390625
mlp,1,math,programming,35.99853515625
mlp,1,mmlu,mmlu,67.669677734375
mlp,1,mmlu,programming,51.5625
mlp,1,programming,programming,61.749267578125
mlp,2,empathetic_dialogue,empathetic_dialogue,46.148681640625
mlp,2,empathetic_dialogue,math,33.16650390625
mlp,2,empathetic_dialogue,mmlu,43.07861328125
mlp,2,empathetic_dialogue,programming,42.22412109375
mlp,2,math,math,51.080322265625
mlp,2,math,mmlu,46.514892578125
mlp,2,math,programming,46.697998046875
mlp,2,mmlu,mmlu,72.100830078125
mlp,2,mmlu,programming,61.9140625
mlp,2,programming,programming,71.209716796875
mlp,3,empathetic_dialogue,empathetic_dialogue,48.944091796875
mlp,3,empathetic_dialogue,math,37.725830078125
mlp,3,empathetic_dialogue,mmlu,47.16796875
mlp,3,empathetic_dialogue,programming,46.5576171875
mlp,3,math,math,56.34765625
mlp,3,math,mmlu,52.349853515625
mlp,3,math,programming,52.60009765625
mlp,3,mmlu,mmlu,72.75390625
mlp,3,mmlu,programming,65.899658203125
mlp,3,programming,programming,72.9736328125
mlp,4,empathetic_dialogue,empathetic_dialogue,38.568115234375
mlp,4,empathetic_dialogue,math,25.0
mlp,4,empathetic_dialogue,mmlu,35.931396484375
mlp,4,empathetic_dialogue,programming,35.382080078125
mlp,4,math,math,42.61474609375
mlp,4,math,mmlu,37.82958984375
mlp,4,math,programming,38.665771484375
mlp,4,mmlu,mmlu,61.7919921875
mlp,4,mmlu,programming,53.41796875
mlp,4,programming,programming,62.48779296875
mlp,5,empathetic_dialogue,empathetic_dialogue,47.979736328125
mlp,5,empathetic_dialogue,math,35.443115234375
mlp,5,empathetic_dialogue,mmlu,45.941162109375
mlp,5,empathetic_dialogue,programming,45.379638671875
mlp,5,math,math,55.120849609375
mlp,5,math,mmlu,50.2197265625
mlp,5,math,programming,51.28173828125
mlp,5,mmlu,mmlu,70.8251953125
